id,symbol,pairSymbol,contractAddress,pairContractAddress,decimals,pairDecimals,chain,modalCexToDex,modalDexToCex,Binance,MEXC,Gateio,INDODAX,KyberSwap,Matcha,OKXDEX,ODOS,ParaSwap,Lifi,isActive
205,SKYA,ETH,0x623cD3a3EdF080057892aaF8D773Bbb7A5C9b6e9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,300,300,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
206,SLP,USDT,0x070a08beef8d36734dd67a491202ff35a6a16d97,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,50,40,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
207,SNX,USDT,0x9ac983826058b8a9c7aa1c9171441191232e8404,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,50,40,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
208,SOL,USDT,0x570a5d26f7765ecb712c0924e4de545b89fd43df,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
209,SOLV,USDT,0xabe8e5cabe24cb36df9540088fd7ce1175b9bc52,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
210,SOPH,USDT,0x31dba3c96481fde3cd81c2aaf51f2d8bf618c742,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
211,SOVRN,ETH,0x031B8d752d73d7Fe9678ACEf26e818280D0646b4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,100,100,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
212,SPK,USDT,0xaff2e841851700d1fc101995ee6b81ae21bb87d7,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
213,SPX,ETH,0xE0f63A424a4439cBE457D80E4f4b51aD25b2c56C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,8,18,Ethereum,300,250,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
214,STBU,ETH,0xa6422E3E219ee6d4C1B18895275FE43556fd50eD,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,150,120,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
215,STG,USDT,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,100,100,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
216,STMX,ETH,0xa62cc35625B0C8dc1fAEA39d33625Bb4C15bD71C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,50,50,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
217,STO,USDT,0xdaf1695c41327b61b9b9965ac6a5843a3198cf07,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
218,STOS,ETH,0x08c32b0726C5684024ea6e141C50aDe9690bBdcc,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,300,250,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
219,SUIRWAPIN,ETH,0xd444b0d1dCeEdd7b0993Ed04351A491D47048Fc4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,100,100,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
220,SUSHI,USDT,0x947950bcc74888a40ffa2593c5798f11fc9124c4,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
221,SYN,USDT,0xa4080f1778e69467e905b8d6f72f6e441f9e9484,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,50,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
222,TEN,ETH,0xDD16eC0F66E54d453e6756713E533355989040E4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,400,350,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
223,THE,USDT,0xf4c8e32eadec4bfe97e0f595add0f4450a863a11,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,1000,900,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
224,TKO,USDT,0x9f589e3eabe42ebc94a44727b3f3531c0c877809,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
225,TRX,USDT,0xce7de646e7208a4ef112cb6ed5038fa6cc6b12e3,0x55d398326f99059fF775485246999027B3197955,6,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
226,TST,USDT,0x86bb94ddd16efc8bc58e6b056e8df71d9e666429,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,300,200,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
227,TUNE,ETH,0x1Fac00CceE478eCeD6A120a50Ed2Ab28EE7FE32b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,300,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
228,TUSD,USDT,0x40af3827f39d0eacbf4a168f8d4ee67c121d11c9,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
229,TUT,USDT,0xcaae2a2f939f51d97cdfa9a86e79e3f085b799f3,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
230,TWT,USDT,0x4b0f1812e5df2a09796481ff14017e6005508003,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,300,200,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
231,UNFI,ETH,0x441761326490cACF7aF299725B6292597EE822c2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,60,50,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
232,UNI,USDT,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
233,UNI,LTC,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,18,18,BSC,500,100,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
